starId,movieId
s000006940,ACj110
s000006941,ACj110
s000006942,ACj110
s000006943,ACj110
s000006944,ACj110
s000006945,ACj110
s000006946,ACj110
s000003711,ACj111
s000001690,ACj111
s000006943,ACj111
s000006947,ACj111
s000006948,ACj111
s000002790,ACj112
s000000195,ACj112
s000000892,ACj112
s000006235,ACj113
s000006949,ACj113
s000006950,ACj113
s000006951,ACj113
s000006952,ACj113
s000006953,ACj113
s000006041,ACj113
s000002130,ACj113
s000006954,ACj114
s000005550,ACj114
s000006955,ACj114
s000006956,ACj114
s000001195,ACj114
s000001900,ACj115
s000002651,ACj115
s000006957,ACj115
s000006958,ACj115
s000006959,ACj115
s000006960,ACj115
s000006961,ACj115
s000006962,ACj115
s000006963,ACj115
s000006964,ACj116
s000006965,ACj117
s000006966,ACj117
s000006967,ACj117
s000002053,ACj118
s000002402,ACj118
s000006968,ACj118
s000002098,ACj119
s000006969,ACj119
s000006970,ACj119
s000006971,ACj120
s000006972,ACj120
s000005173,ACj121
s000001195,ACj121
s000006973,ACj121
s000006974,ACj121
s000006975,ACj121
s000006976,ACj121
s000006977,ACj121
s000005222,ACj121
s000006978,ACj121
s000000406,ACj122
s000006979,ACj122
s000003711,ACj122
s000006980,ACj122
s000006981,ACj123
s000000748,ACj123
s000004253,ACj124
s000005627,ACj124
s000006982,ACj124
s000006983,ACj125
s000002723,ACj125
s000005379,ACj125
s000003235,ACj126
s000000717,ACj126
s000006984,ACj126
s000005936,ACj127
s000004449,ACj127
s000000931,ACj127
s000006985,ACj127
s000006859,ACj127
s000006657,ACj128
s000003567,ACj128
s000006986,ACj128
s000006987,ACj128
s000006988,ACj128
s000006989,ACj128
s000000065,ACj128
s000006990,ACj128
s000006960,ACj128
s000006991,ACj128
s000006992,ACl10
s000006993,ACl10
s000006994,ACl10
s000006995,ACl10
s000006996,ACl10
s000006183,ACt10
s000001577,ACu15
s000006997,ACu15
s000003440,ACu15
s000006998,ACu20
s000006999,ACu20
s000004794,ACu23
s000007000,ACu23
s000001557,ACu23
s000000321,ACu23
s000007001,ACu27
s000007002,ACu27
s000007003,ACu27
s000006860,ACu27
s000006860,ACu27
s000007004,ACv10
s000007005,ACv10
s000007006,ACv10
s000005895,ACx10
s000001867,ACx10
s000007007,ACx10
s000004097,ACx10
s000007008,ACx10
s000004685,ACx12
s000007009,ACx12
s000007010,ACx12
s000000705,ACy10
s000000051,ACy10
s000005202,ACy10
s000007011,ACy14
s000007012,ACy14
s000003167,ACy20
s000003785,ACy20
s000007013,ACy20
s000002170,ACy38
s000003744,ACy38
s000007014,ACy38
s000007015,ACy38
s000007016,AD40
s000007017,AD40
s000007018,AD40
s000007019,ADA10
s000007020,ADA10
s000004627,AdB21
s000001112,AdB21
s000007021,AdB21
s000002951,AdB21
s000007022,ADg10
s000007023,ADg10
s000007024,AdI15
s000007025,AdI15
s000007026,AdI15
s000007027,AdI15
s000006859,AdI15
s000006859,AdI15
s000007028,AdL5
s000004622,AdL5
s000005783,AdL5
s000007029,AdL5
