TS=31629530,TJ=28681397
TS=9659283770,TJ=9657398711
TS=9754254394,TJ=9751900526
TS=125738937,TJ=124464018
TS=135784040,TJ=134028628
TS=10205797497,TJ=10203288658
TS=10222256195,TJ=10220815014
TS=10322781000,TJ=10320041495
TS=10275570063,TJ=10273950923
TS=112054112,TJ=109496518
TS=114076441,TJ=112012839
TS=122186315,TJ=117538152
TS=121646324,TJ=120346376
TS=132032083,TJ=130714311
TS=10135224550,TJ=10131423085
TS=10177227414,TJ=10175139259
TS=128070722,TJ=126995005
TS=10079325795,TJ=10077896960
TS=9966414614,TJ=9965064876
TS=122759042,TJ=121600288
TS=10194397965,TJ=10192930575
TS=124611157,TJ=123227205
TS=148050254,TJ=146865400
TS=10335105993,TJ=10334095063
TS=10134575895,TJ=10133285450
TS=10166216864,TJ=10165261587
TS=135290211,TJ=134152070
TS=10255527852,TJ=10254274774
TS=10219590972,TJ=10217775879
TS=140157112,TJ=137883372
TS=10234569403,TJ=10233200765
TS=140782248,TJ=138246000
TS=10145571402,TJ=10144096034
TS=138215995,TJ=136912356
TS=10231143997,TJ=10229669549
TS=10255687117,TJ=10252660384
TS=10285328071,TJ=10283965857
TS=10219729863,TJ=10218332485
TS=111051140,TJ=109630540
TS=10336809853,TJ=10335757360
TS=10252109419,TJ=10250618717
TS=10087927445,TJ=10086908319
TS=10196036577,TJ=10194561867
TS=145994453,TJ=144935307
TS=148222879,TJ=146833545
TS=145505878,TJ=144460749
TS=136013566,TJ=134661380
TS=10491568783,TJ=10489826005
TS=126075993,TJ=125019538
TS=10166023777,TJ=10164775782
TS=10294797927,TJ=10293615844
TS=10217303789,TJ=10215943520
TS=10147491470,TJ=10146167028
TS=10303277225,TJ=10302021033
TS=10266448508,TJ=10265514051
TS=10428220897,TJ=10427002262
TS=10242680883,TJ=10241753849
TS=105615806,TJ=103882761
TS=10370338890,TJ=10369011760
TS=10160559715,TJ=10159344779
TS=128453232,TJ=127252949
TS=10225684674,TJ=10224641739
TS=145741161,TJ=144716920
TS=10470593268,TJ=10467854374
TS=10191941060,TJ=10190876293
TS=10145001252,TJ=10143951993
TS=10286187363,TJ=10284812009
TS=111957937,TJ=110977176
TS=9965392010,TJ=9964097778
TS=10025644644,TJ=10024458110
TS=10095802492,TJ=10094790959
TS=142653221,TJ=141651991
TS=10135054598,TJ=10134002802
TS=125626745,TJ=124472912
TS=10349075587,TJ=10347774672
TS=117440804,TJ=116261530
TS=10181819378,TJ=10180619004
TS=140239730,TJ=139169434
TS=10061559261,TJ=10060337444
TS=10167162140,TJ=10166131579
TS=133604349,TJ=132397161
TS=10202082302,TJ=10201134319
TS=10282289000,TJ=10281169793
TS=10205539760,TJ=10204408198
TS=10002799906,TJ=10001428291
TS=9974834764,TJ=9973626436
TS=10079501271,TJ=10078248839
TS=141680965,TJ=140600946
TS=10169719135,TJ=10168792739
TS=10121264766,TJ=10120017016
TS=10250409579,TJ=10248857802
TS=131282482,TJ=130130694
TS=140594812,TJ=139640035
TS=115619747,TJ=114527783
TS=111262185,TJ=110292109
TS=10351863152,TJ=10348030105
TS=9938215758,TJ=9936984985
TS=140662093,TJ=139743653
TS=135367441,TJ=134615631
TS=10017204033,TJ=10016155957
TS=10116138837,TJ=10115309693
TS=10234318594,TJ=10233411153
TS=140566409,TJ=139722082
TS=10191698634,TJ=10190859287
TS=10224041600,TJ=10222070441
TS=10047067500,TJ=10046026426
TS=10155488752,TJ=10154592562
TS=10264737827,TJ=10263645285
TS=10317278644,TJ=10316368091
TS=140213741,TJ=139239553
TS=10193012715,TJ=10192117575
TS=10244943000,TJ=10243901610
TS=121265688,TJ=120270139
TS=115680637,TJ=114787401
TS=126885706,TJ=126103365
TS=123683290,TJ=122929497
TS=133896866,TJ=132973842
TS=132817129,TJ=131973108
TS=136522507,TJ=135450254
TS=10146328660,TJ=10144876945
TS=10107390802,TJ=10106341365
TS=9999850571,TJ=9998775906
TS=145187776,TJ=144451691
TS=135362068,TJ=134339739
TS=10053154349,TJ=10051684492
TS=10184185286,TJ=10183224536
TS=129605859,TJ=128660937
TS=139289740,TJ=138205638
TS=139878111,TJ=139119295
TS=10080769848,TJ=10079613460
TS=131622098,TJ=130815678
TS=10164875743,TJ=10163927443
TS=135123076,TJ=134250761
TS=10029775451,TJ=10028828443
TS=10133238172,TJ=10132381650
TS=10022174541,TJ=10021419044
TS=126201827,TJ=125293592
TS=10204968229,TJ=10203804279
TS=138837493,TJ=137972545
TS=10102158727,TJ=10101400650
TS=9849138268,TJ=9848172430
TS=10173559944,TJ=10172617021
TS=10132471512,TJ=10131611490
TS=141483480,TJ=140673918
TS=128572972,TJ=127874171
TS=142037695,TJ=141316313
TS=10003695213,TJ=10002766243
TS=10126802515,TJ=10125829027
TS=9952866872,TJ=9952100363
TS=9687025376,TJ=9686133729
TS=138952427,TJ=138179499
TS=9804829871,TJ=9803991592
TS=10229323072,TJ=10228395609
TS=10160749096,TJ=10159731329
TS=10014706923,TJ=10014008697
TS=10320584676,TJ=10319837843
TS=129421417,TJ=128618698
TS=136262437,TJ=135458388
TS=146552091,TJ=145558847
TS=9997188405,TJ=9996247258
TS=9838990439,TJ=9838087734
TS=124817755,TJ=124007704
TS=10045706709,TJ=10044865939
TS=10127965989,TJ=10127155860
TS=222384577,TJ=221598531
TS=10238108775,TJ=10237370186
TS=10269509609,TJ=10268749550
TS=10110585426,TJ=10109789539
TS=10273334747,TJ=10271985024
TS=10341973089,TJ=10341138304
TS=10188693754,TJ=10187710014
TS=114835512,TJ=114055254
TS=10070858511,TJ=10069951473
TS=10166623203,TJ=10165790527
TS=136266376,TJ=135480733
TS=9779166646,TJ=9778391468
TS=9965319990,TJ=9964529420
TS=10052470829,TJ=10051740983
TS=10088000289,TJ=10087201684
TS=10242750713,TJ=10241994486
TS=138138698,TJ=137344106
TS=10201905512,TJ=10201207188
TS=133217631,TJ=132599383
TS=10148666408,TJ=10147812019
TS=10015022892,TJ=10014155507
TS=10211174422,TJ=10210186994
TS=144742893,TJ=143922110
TS=135109408,TJ=134418723
TS=10224387961,TJ=10223589160
TS=10199812317,TJ=10198922303
TS=10176765498,TJ=10176090182
TS=137519006,TJ=136695404
TS=9932534780,TJ=9931767385
TS=9859413394,TJ=9858479123
TS=10268849284,TJ=10268129942
TS=10233359323,TJ=10232708249
TS=146463325,TJ=145591331
TS=10384654955,TJ=10383897316
TS=143484206,TJ=142595580
TS=143087443,TJ=142217325
TS=10037748959,TJ=10036850417
TS=127074135,TJ=126317648
TS=135152503,TJ=134282708
TS=10043398679,TJ=10042355552
TS=139425352,TJ=138394612
TS=9989229002,TJ=9988337929
TS=147038119,TJ=144573129
TS=10188881338,TJ=10187939730
TS=10160176232,TJ=10159350080
TS=10290250379,TJ=10288988566
TS=10318279864,TJ=10317581705
TS=9998061752,TJ=9997177403
TS=9795909656,TJ=9795141555
TS=10236768124,TJ=10235775437
TS=142629382,TJ=141447569
TS=10340731108,TJ=10339972633
TS=9982527983,TJ=9981363093
TS=10126714971,TJ=10126074699
TS=10122831454,TJ=10121732424
TS=9980010867,TJ=9979200521
TS=10152622699,TJ=10151601797
TS=10187252717,TJ=10186636800
TS=10107298746,TJ=10106619604
TS=10131784431,TJ=10131035116
TS=9912635929,TJ=9912018935
