TS=1067541438,TJ=1067150216
TS=15246314,TJ=14839292
TS=1082521122,TJ=1082121247
TS=1167909618,TJ=1167414712
TS=14502951,TJ=14093568
TS=1062400889,TJ=1061961668
TS=14953541,TJ=14598043
TS=1067406175,TJ=1066995520
TS=14991242,TJ=14582258
TS=1071393078,TJ=1071012430
TS=1066064604,TJ=1065474921
TS=1065979844,TJ=1065566624
TS=1065330501,TJ=1064921022
TS=1371190761,TJ=1370658266
TS=1119930439,TJ=1119476743
TS=14439872,TJ=14048956
TS=15185942,TJ=14821030
TS=1074869511,TJ=1074479070
TS=1069633651,TJ=1069253133
TS=1077623994,TJ=1077006467
TS=1072486459,TJ=1071986155
TS=1167528627,TJ=1167080657
TS=14705959,TJ=14362716
TS=15760373,TJ=15390646
TS=14768232,TJ=14410987
TS=14475339,TJ=14102782
TS=14939857,TJ=14555510
TS=1075517353,TJ=1075085383
TS=1067848462,TJ=1067403077
TS=1072361555,TJ=1071962450
TS=14827401,TJ=14415960
TS=1067154058,TJ=1066769543
TS=15307944,TJ=14873399
TS=15001096,TJ=14628086
TS=17777394,TJ=17317336
TS=1070923833,TJ=1070485575
TS=14207958,TJ=13831380
TS=1066696568,TJ=1066302494
TS=1065262854,TJ=1064763634
TS=1065713440,TJ=1065316939
TS=14872828,TJ=14502805
TS=26676110,TJ=26189983
TS=1066677060,TJ=1066198049
TS=1064435322,TJ=1064052428
TS=14905839,TJ=14549419
TS=1068390796,TJ=1067987752
TS=14907234,TJ=14552144
TS=1074667549,TJ=1074250848
TS=1066161422,TJ=1065780679
TS=1072718717,TJ=1072308140
TS=14773655,TJ=14262734
TS=14385288,TJ=14050085
TS=1063827580,TJ=1063416575
TS=1060083104,TJ=1059695769
TS=16843067,TJ=16401063
TS=1068981327,TJ=1068552754
TS=1068434214,TJ=1068014720
TS=14518967,TJ=14168696
TS=1068191402,TJ=1067807796
TS=1063521420,TJ=1063065627
TS=14344711,TJ=13895030
TS=1172240520,TJ=1171803643
TS=14366532,TJ=13963668
TS=1071497663,TJ=1070979515
TS=14578234,TJ=14227362
TS=1067541975,TJ=1067106314
TS=1082078171,TJ=1081605915
TS=1068536584,TJ=1068089453
TS=1068092733,TJ=1067721319
TS=1067267488,TJ=1066811703
TS=1068201604,TJ=1067807369
TS=1082537222,TJ=1081989433
TS=14512408,TJ=14177164
TS=19435880,TJ=19025024
TS=1089253391,TJ=1088771249
TS=15506548,TJ=15113491
TS=14963682,TJ=14624297
TS=1064658947,TJ=1064280420
TS=1071219412,TJ=1070842892
TS=1066103530,TJ=1065734949
TS=1061641838,TJ=1061268346
TS=1267635467,TJ=1267249094
TS=1171728881,TJ=1171301462
TS=15073800,TJ=14736100
TS=15202146,TJ=14737988
TS=1070123826,TJ=1069753451
TS=14423377,TJ=14007268
TS=14784824,TJ=14411166
TS=1178190781,TJ=1177717360
TS=15742427,TJ=15276334
TS=14331286,TJ=13936331
TS=14744855,TJ=14362607
TS=1065976451,TJ=1065576651
TS=1097304586,TJ=1096933114
TS=14642501,TJ=14301999
TS=1068704184,TJ=1068340027
TS=1066429255,TJ=1066023002
TS=1066253414,TJ=1065888650
TS=1067423422,TJ=1067040250
TS=1074892349,TJ=1074488012
TS=1065209315,TJ=1064820686
TS=14679794,TJ=14342061
TS=1067293133,TJ=1066922775
TS=1069386402,TJ=1068995800
TS=1082989010,TJ=1082425630
TS=14819489,TJ=14479609
TS=1071435348,TJ=1071056939
TS=1069083646,TJ=1068696473
TS=1067816448,TJ=1067442251
TS=1069800561,TJ=1069422368
TS=1072203123,TJ=1071810749
TS=1065920296,TJ=1065535803
TS=14004926,TJ=13667506
TS=1068698135,TJ=1068179016
TS=1066343445,TJ=1065907677
TS=14991500,TJ=14608465
TS=1073442053,TJ=1073028230
TS=1065373191,TJ=1064977176
TS=15024340,TJ=14672551
TS=1067973968,TJ=1067528163
TS=14935709,TJ=14571447
