TS=47345399,TJ=25616291
TS=166110501,TJ=137524441
TS=209619027,TJ=187461085
TS=204598593,TJ=180069106
TS=7700883183,TJ=7695054832
TS=8298745197,TJ=8290373422
TS=8365099307,TJ=8337067061
TS=8367653924,TJ=8362251589
TS=8445914098,TJ=8435494821
TS=8144850559,TJ=8130025787
TS=8249221885,TJ=8243937484
TS=103853547,TJ=101304284
TS=8293565775,TJ=8280500122
TS=144797007,TJ=143398133
TS=15397258109,TJ=8343285982
TS=7132989790,TJ=101342892
TS=7257452575,TJ=120868554
TS=226053628,TJ=116361704
TS=7681939185,TJ=7631418713
TS=253795047,TJ=131686108
TS=142144626,TJ=84485494
TS=8258990053,TJ=8255963112
TS=8207809002,TJ=8164055682
TS=9158462580,TJ=8431924323
TS=8246571100,TJ=8244193368
TS=8095595942,TJ=8087268182
TS=402363087,TJ=133763767
TS=122217357,TJ=116598225
TS=151474103,TJ=146764469
TS=148921904,TJ=143545669
TS=155105800,TJ=118735463
TS=8500181523,TJ=8491913600
TS=8212507887,TJ=8209034802
TS=7349121188,TJ=118183933
TS=8302368082,TJ=8298833789
TS=7424171077,TJ=129455132
TS=8452291717,TJ=8246671218
TS=8324373700,TJ=8322059651
TS=124147025,TJ=117260786
TS=147004287,TJ=141654658
TS=8242745959,TJ=8195582325
TS=8584711881,TJ=8486410546
TS=8486142381,TJ=8467082771
TS=103520160,TJ=99950648
TS=8513659872,TJ=8510068896
TS=55853410,TJ=52673234
TS=143853111,TJ=142471473
TS=7786894960,TJ=7772644487
TS=7815891006,TJ=7811868306
TS=8172112803,TJ=8169756238
TS=8114003044,TJ=8105292705
TS=889505521,TJ=107983459
TS=8107703616,TJ=8015768750
TS=8252571021,TJ=8246684309
TS=8273674375,TJ=8271114589
TS=521123363,TJ=113531287
TS=8323480512,TJ=8319004571
TS=62734170,TJ=59098997
TS=77338455,TJ=74777636
TS=14135767131,TJ=7739715566
TS=14583338220,TJ=8243666415
TS=8202281966,TJ=8195142613
TS=8891784538,TJ=8333992654
TS=8245767366,TJ=7877912274
TS=7779309923,TJ=7768571683
TS=272971073,TJ=130076692
TS=216469008,TJ=103070886
TS=8361616618,TJ=8355453833
TS=8332397791,TJ=8315803766
TS=258305474,TJ=99576604
TS=284140560,TJ=107922558
TS=13665066219,TJ=7762217964
