TS=187823436,TJ=186100494
TS=175217177,TJ=165784796
TS=152374360,TJ=150815048
TS=193855042,TJ=179201314
TS=10547625076,TJ=10544363351
TS=10086036725,TJ=10082042724
TS=10646590875,TJ=10642657790
TS=10282549698,TJ=10280853673
TS=10684402521,TJ=10673619481
TS=10310400495,TJ=10306040247
TS=10605809513,TJ=10599427984
TS=10168017538,TJ=10162159911
TS=10150062742,TJ=10148355287
TS=10057329743,TJ=10054086708
TS=38022035,TJ=36698461
TS=142838303,TJ=139100672
TS=123573726,TJ=122216215
TS=151686869,TJ=147219372
TS=101196769,TJ=99897946
TS=110217128,TJ=105421440
TS=124840404,TJ=119549293
TS=125431519,TJ=120904254
TS=8518301564,TJ=8512339010
TS=148676378,TJ=145219468
TS=151679051,TJ=150415391
TS=151862378,TJ=147660441
TS=9851022194,TJ=9844330654
TS=9584279721,TJ=9582866256
TS=137590947,TJ=136412330
TS=10408725420,TJ=10407287603
TS=10427258515,TJ=10425875089
TS=10494347636,TJ=10492969405
TS=10508263361,TJ=10503387210
TS=10092015283,TJ=10090589534
TS=124227226,TJ=121395695
TS=130242057,TJ=128822659
TS=118802297,TJ=117375648
TS=10194634413,TJ=10189525287
TS=9852399857,TJ=9851057919
TS=117976481,TJ=114473023
TS=8807546612,TJ=8806100380
TS=140241043,TJ=138940195
TS=148328366,TJ=147119315
TS=9828804833,TJ=9827426080
TS=10203479374,TJ=10197222487
TS=9946785470,TJ=9944394491
TS=130065012,TJ=128846310
TS=9844416463,TJ=9843169417
TS=10178884443,TJ=10177662483
TS=10170709022,TJ=10169257716
TS=124432073,TJ=123166204
TS=94643889,TJ=93451905
TS=9895522245,TJ=9893184708
TS=10318223472,TJ=10313451855
TS=10199241462,TJ=10197682657
TS=82795467,TJ=81468424
TS=177134898,TJ=175999467
TS=9932874975,TJ=9931489504
TS=9757077001,TJ=9754729626
TS=9856963420,TJ=9855933395
TS=9862445892,TJ=9861221332
TS=10086732222,TJ=10083444335
TS=10296736455,TJ=10292122756
TS=136166254,TJ=129880804
TS=10218943608,TJ=10217754842
TS=9965802500,TJ=9964624216
TS=10254828441,TJ=10253306867
TS=121234524,TJ=120089836
TS=10095574633,TJ=10094307948
TS=118828119,TJ=117537602
TS=111133894,TJ=109953891
TS=9937739430,TJ=9935359885
TS=9975844300,TJ=9973537955
TS=9569733374,TJ=9568559411
TS=9947838247,TJ=9946255761
TS=162252821,TJ=161108560
TS=136930773,TJ=135842750
TS=158315998,TJ=157043205
TS=152183891,TJ=151008770
TS=10080906934,TJ=10077940709
TS=118440271,TJ=114974147
TS=142235497,TJ=137601517
TS=9948525298,TJ=9947284329
TS=10142639570,TJ=10141044182
TS=9898788125,TJ=9893325594
TS=9878990592,TJ=9860490953
TS=53474635,TJ=48537846
TS=10090198538,TJ=10088710754
TS=115685239,TJ=114724859
TS=9552206700,TJ=9550974142
TS=9971852576,TJ=9968209860
TS=10097825788,TJ=10093626396
TS=138958883,TJ=137899721
TS=10042866886,TJ=10041543012
TS=9867492911,TJ=9866394706
TS=10084621918,TJ=10083660704
TS=10034842645,TJ=10029792541
TS=10185404500,TJ=10184428666
TS=10202097087,TJ=10201140048
TS=10006840391,TJ=10005768040
TS=111319878,TJ=107267151
TS=9281714947,TJ=9280639827
TS=9753575422,TJ=9751331631
TS=141995293,TJ=140912476
TS=9728235009,TJ=9727121113
TS=9951218994,TJ=9948908243
TS=143740699,TJ=142763037
TS=9959662015,TJ=9958515135
TS=10017034533,TJ=10015918559
TS=10077038408,TJ=10075001811
TS=10312645720,TJ=10306988241
TS=9991914855,TJ=9990858387
TS=10131265619,TJ=10130243834
TS=154262734,TJ=153224696
TS=171202475,TJ=170101548
TS=9641377886,TJ=9640046870
