TS=1214720318,TJ=1209527434
TS=17927369,TJ=16000709
TS=1129326284,TJ=1125526532
TS=1089055170,TJ=1086836972
TS=17331975,TJ=15061397
TS=1107201575,TJ=1105646781
TS=30052053,TJ=28064763
TS=1097230681,TJ=1095342517
TS=20481038,TJ=18652110
TS=1089719458,TJ=1087834339
TS=1089825116,TJ=1088282999
TS=1084764880,TJ=1081702633
TS=1086773235,TJ=1085033774
TS=1087876203,TJ=1086417547
TS=1084638105,TJ=1082461267
TS=16939047,TJ=15208989
TS=16482587,TJ=14870861
TS=1083106232,TJ=1081519946
TS=1094436110,TJ=1092186669
TS=1115551287,TJ=1112621625
TS=1134156777,TJ=1129733754
TS=2105863335,TJ=2104452698
TS=33541508,TJ=32209524
TS=38263696,TJ=33488533
TS=28486978,TJ=26853614
TS=22990270,TJ=21551881
TS=20813726,TJ=19056154
TS=1122631591,TJ=1121000728
TS=1087961755,TJ=1086621129
TS=1091967445,TJ=1090545698
TS=16266930,TJ=14840910
TS=1100084632,TJ=1098618672
TS=17915824,TJ=16791228
TS=16425579,TJ=15255527
TS=16545442,TJ=15196821
TS=1096050450,TJ=1094588008
TS=15797057,TJ=14558000
TS=1092053084,TJ=1090749389
TS=1096161867,TJ=1094348813
TS=1087246656,TJ=1085991276
TS=24471334,TJ=23057849
TS=17473529,TJ=16305991
TS=1115861971,TJ=1114493515
TS=1088734533,TJ=1087397058
TS=17369688,TJ=16029567
TS=1099463053,TJ=1098249347
TS=16039356,TJ=14620490
TS=1082578000,TJ=1081138621
TS=1075659406,TJ=1074241029
TS=1083016173,TJ=1081489609
TS=19087897,TJ=17825945
TS=17069761,TJ=15801496
TS=1086285195,TJ=1085281609
TS=1078570254,TJ=1077312769
TS=15407342,TJ=14174136
TS=1086483806,TJ=1085115248
TS=1087987632,TJ=1086670859
TS=15195453,TJ=14173012
TS=1088384988,TJ=1086966614
TS=1085203069,TJ=1083749889
TS=16212227,TJ=14717231
TS=1098057105,TJ=1096526568
TS=16003918,TJ=14555752
TS=1091421875,TJ=1089709470
TS=15644560,TJ=14667614
TS=1092103848,TJ=1091097901
TS=1094719988,TJ=1093420912
TS=1082319500,TJ=1080810143
TS=1095042856,TJ=1093953587
TS=1083612894,TJ=1082263776
TS=1090020927,TJ=1088805886
TS=1116006540,TJ=1112844406
TS=15730857,TJ=14477061
TS=29116790,TJ=27809859
TS=1200662192,TJ=1199217380
TS=16379964,TJ=15199167
TS=17456969,TJ=16385605
TS=1086348095,TJ=1085177643
TS=1089085888,TJ=1087968037
TS=1094481240,TJ=1093383373
TS=1088534879,TJ=1087325474
TS=1089854897,TJ=1088583530
TS=1084813604,TJ=1083721140
TS=16546437,TJ=15269343
TS=25214464,TJ=24115117
TS=1123176926,TJ=1122047757
TS=24084916,TJ=22810946
TS=15868304,TJ=14612460
TS=1085722769,TJ=1084565934
TS=16821026,TJ=15605370
TS=16786299,TJ=15780529
TS=15650986,TJ=14576166
TS=1081841560,TJ=1081001350
TS=1086746107,TJ=1085649325
TS=16634143,TJ=15552497
TS=1085269215,TJ=1084384630
TS=1085143909,TJ=1084252302
TS=1085059256,TJ=1084028436
TS=1094400543,TJ=1093208106
TS=1190504828,TJ=1189494730
TS=1724937519,TJ=1723579977
TS=37501614,TJ=36406282
TS=1519943505,TJ=1518631946
TS=1139876039,TJ=1138608956
TS=1112627162,TJ=1111067935
TS=15571227,TJ=14509840
TS=1087526045,TJ=1086024346
TS=1091195098,TJ=1090046198
TS=1200542202,TJ=1199312769
TS=1091014963,TJ=1089531079
TS=1095672167,TJ=1094565341
TS=1112646408,TJ=1111381479
TS=15835160,TJ=14556743
TS=1094755842,TJ=1093393327
TS=1098579386,TJ=1097297240
TS=16064645,TJ=15108326
TS=1094837829,TJ=1093744890
TS=1093789209,TJ=1092703467
TS=18582578,TJ=17188041
TS=1133082355,TJ=1132036409
TS=17224756,TJ=16117095
TS=1095779668,TJ=1094640265
TS=1108149732,TJ=1107153181
TS=1119704611,TJ=1117985441
TS=1092624363,TJ=1091320291
TS=16413754,TJ=15520237
TS=18261182,TJ=17175222
TS=15866142,TJ=14951024
TS=1086286665,TJ=1084975751
TS=1085829353,TJ=1084816441
TS=1087728554,TJ=1086760379
TS=1079000942,TJ=1078189247
TS=15939742,TJ=15172985
TS=15755668,TJ=14831869
TS=1082092814,TJ=1081232343
TS=1078507446,TJ=1077683244
TS=15306752,TJ=14512016
TS=14995287,TJ=14240523
TS=1089483923,TJ=1088614511
TS=16194432,TJ=15297893
TS=1080768381,TJ=1079869164
TS=1082483527,TJ=1081628702
TS=15811384,TJ=14871086
TS=1106240825,TJ=1105258853
TS=1082896913,TJ=1082070104
TS=1087948921,TJ=1087095676
TS=1082437757,TJ=1081552973
TS=15603499,TJ=14669579
TS=1080619896,TJ=1079628654
TS=1077401706,TJ=1076521611
TS=1075317289,TJ=1074234581
TS=1094542215,TJ=1093340874
TS=1076936564,TJ=1075943120
TS=16465687,TJ=15543080
TS=1128428722,TJ=1127411108
TS=1098684272,TJ=1097479116
TS=1088125759,TJ=1087344012
TS=1086135621,TJ=1085365081
TS=1083173511,TJ=1082148069
TS=15372870,TJ=14583455
TS=1089134335,TJ=1088289211
TS=1081582334,TJ=1080610442
TS=1079523819,TJ=1078642762
TS=15403570,TJ=14690665
TS=15483032,TJ=14793233
TS=1128138930,TJ=1127397888
TS=15570499,TJ=14745533
TS=15381113,TJ=14602607
TS=15799529,TJ=14933984
TS=16199794,TJ=15462947
TS=1869304936,TJ=1868433900
TS=1096906244,TJ=1095909935
TS=1108283230,TJ=1107419632
TS=17473410,TJ=16450586
TS=1087758823,TJ=1086752579
TS=15245242,TJ=14643348
TS=14959824,TJ=14267405
TS=1078469687,TJ=1077537933
TS=16723274,TJ=15008219
TS=22223776,TJ=21324240
TS=15905168,TJ=15138835
TS=1079540887,TJ=1078807658
TS=1071409737,TJ=1070240813
TS=1080935501,TJ=1079854399
TS=1088526298,TJ=1087745064
TS=16080279,TJ=15264755
TS=1088317343,TJ=1087499130
TS=16028468,TJ=15185078
TS=1081132078,TJ=1079859441
TS=1101205933,TJ=1099672587
TS=1087486429,TJ=1086668394
TS=15029486,TJ=14295500
TS=16277831,TJ=15474067
TS=16046863,TJ=15287270
TS=1201143664,TJ=1200409387
TS=1093167467,TJ=1092170516
TS=1082559556,TJ=1081834111
TS=1086934068,TJ=1086147634
TS=1086782794,TJ=1085849441
TS=14955332,TJ=14287580
