TS=93144206,TJ=84949278
TS=200221300,TJ=184007344
TS=248497211,TJ=185130285
TS=255401707,TJ=199837796
TS=10647795791,TJ=10645852184
TS=10615001327,TJ=10588115028
TS=10663598677,TJ=10656290620
TS=10679569276,TJ=10677051342
TS=10356803753,TJ=10350834195
TS=10657335721,TJ=10636136635
TS=162661849,TJ=160926631
TS=10545759539,TJ=10542878334
TS=167500656,TJ=161725924
TS=10494835101,TJ=10487719320
TS=10509461642,TJ=10502011468
TS=155600875,TJ=152006314
TS=126744869,TJ=121914142
TS=10572313400,TJ=10567895583
TS=146637685,TJ=144540841
TS=124741679,TJ=119947304
TS=127367473,TJ=126102246
TS=131276107,TJ=129881109
TS=10321647705,TJ=10317244046
TS=10364945803,TJ=10359901901
TS=10258925598,TJ=10253799534
TS=10212222413,TJ=10210948782
TS=10358677238,TJ=10353270711
TS=147697320,TJ=144727213
TS=161239239,TJ=159880798
TS=10374646338,TJ=10364228042
TS=172365746,TJ=171001959
TS=132234699,TJ=126350344
TS=10143591417,TJ=10140122264
TS=108641477,TJ=107347257
TS=10293535604,TJ=10291220733
TS=10352460639,TJ=10348981354
TS=95246363,TJ=92883158
TS=139405289,TJ=138116407
TS=10199404657,TJ=10195993850
TS=109451515,TJ=103803727
TS=9663304606,TJ=9662007516
TS=152674710,TJ=151479426
TS=9936666363,TJ=9935311153
TS=10315845023,TJ=10310166104
TS=125093330,TJ=122034341
TS=10296808630,TJ=10295636701
TS=10317942918,TJ=10316551112
TS=120442514,TJ=119258623
TS=10405571668,TJ=10404376958
TS=10087238001,TJ=10085969622
TS=150515732,TJ=149324664
TS=143371503,TJ=138590776
TS=10267411897,TJ=10264294775
TS=10374696891,TJ=10373252628
TS=129589789,TJ=127344083
TS=125047673,TJ=123830637
TS=10348101892,TJ=10344451116
TS=10196289607,TJ=10194857104
TS=10316903678,TJ=10313369486
TS=10231001803,TJ=10229683097
TS=10196610699,TJ=10194908560
TS=10316610218,TJ=10315367901
TS=10318927053,TJ=10317669748
TS=142711276,TJ=141524030
TS=149250538,TJ=146895712
TS=10371326803,TJ=10366729391
TS=10345122391,TJ=10342637663
TS=171265455,TJ=170024242
TS=141857605,TJ=140588035
TS=10311370182,TJ=10309069142
TS=10152746248,TJ=10151119790
TS=10107994791,TJ=10106638740
TS=10147921499,TJ=10145838469
TS=10114551731,TJ=10113353826
TS=10329955223,TJ=10324659403
TS=138563274,TJ=137301099
TS=10318978420,TJ=10316748582
TS=149410969,TJ=144322758
TS=101270768,TJ=98624987
TS=109018051,TJ=106574049
TS=10286769044,TJ=10280810609
TS=154835795,TJ=153747093
TS=131590507,TJ=130258663
TS=133157539,TJ=131983331
TS=10034950384,TJ=10032678017
TS=10268292788,TJ=10265255702
TS=10325573990,TJ=10324407590
TS=136321966,TJ=133180632
TS=10209692886,TJ=10208569508
TS=9737388239,TJ=9735819940
TS=10391140114,TJ=10389887901
TS=10401406004,TJ=10399907688
TS=138123423,TJ=136834381
TS=10304653247,TJ=10302339159
TS=10259486248,TJ=10258269817
TS=10394032694,TJ=10389894908
TS=10246916847,TJ=10245760055
TS=10314615158,TJ=10313313106
TS=10279624148,TJ=10274003508
TS=10301115103,TJ=10299908207
TS=133989504,TJ=132987112
TS=10058595131,TJ=10057482317
TS=10250682530,TJ=10249412031
TS=135003869,TJ=133876909
TS=10103664351,TJ=10102381157
TS=10320799695,TJ=10319772343
TS=143213026,TJ=142034570
TS=10221345971,TJ=10218893913
TS=10480571233,TJ=10475652074
TS=10352401759,TJ=10350045473
TS=10183348191,TJ=10181927773
TS=10221686963,TJ=10220654558
TS=190803058,TJ=185784212
TS=183159629,TJ=182046608
TS=10562695373,TJ=10559375388
TS=10438364254,TJ=10432926783
TS=136273198,TJ=132996453
TS=150047086,TJ=148981095
TS=140285519,TJ=139228583
TS=10367653537,TJ=10366615073
TS=10302107154,TJ=10300350170
TS=10472096756,TJ=10470910130
TS=10433045513,TJ=10429886979
TS=10133171352,TJ=10132028222
TS=10436390534,TJ=10435203449
TS=10500253048,TJ=10498544975
TS=131452063,TJ=130360101
TS=141159059,TJ=140118110
TS=10311602231,TJ=10310524805
TS=129392595,TJ=128352986
TS=121989140,TJ=120018190
TS=10571853646,TJ=10568394915
TS=141171698,TJ=140157842
TS=128573090,TJ=127561518
TS=10246385028,TJ=10245232343
TS=10433828421,TJ=10432748556
TS=10202962835,TJ=10201899177
TS=10346307868,TJ=10345276765
TS=160027850,TJ=158886674
TS=10310798270,TJ=10309774561
TS=10368842439,TJ=10367841045
TS=10142654401,TJ=10141626230
TS=10065564212,TJ=10064522288
TS=10325643196,TJ=10322380971
TS=137964831,TJ=133744466
TS=10293486634,TJ=10290093436
TS=10050811434,TJ=10044577857
TS=10153571554,TJ=10147166411
TS=10274360805,TJ=10273437590
TS=10256491556,TJ=10255489380
TS=151910125,TJ=149312683
TS=10374093741,TJ=10373104348
TS=10363681235,TJ=10362696044
TS=9879202095,TJ=9877850724
TS=10458995863,TJ=10455529349
TS=142115528,TJ=138857704
TS=10431803483,TJ=10430707705
TS=137782595,TJ=136799537
TS=140206315,TJ=139246815
TS=10273365905,TJ=10272051254
TS=122091595,TJ=121120984
TS=127530201,TJ=124461383
TS=121387129,TJ=120456050
TS=10115636325,TJ=10114116079
TS=9785356848,TJ=9784198444
TS=135008652,TJ=134099743
TS=151995873,TJ=151036608
TS=10265420476,TJ=10264415680
TS=117871660,TJ=116847655
TS=153831836,TJ=152842075
TS=131191548,TJ=130248425
TS=147207468,TJ=146311111
TS=10156042187,TJ=10155235702
TS=10158170480,TJ=10157261870
TS=10253803885,TJ=10252301552
TS=10227884183,TJ=10226952972
TS=140402743,TJ=136466481
TS=10094291380,TJ=10093237814
TS=10172370502,TJ=10171457365
TS=10259626710,TJ=10258515049
TS=131998701,TJ=130724530
TS=10121242291,TJ=10120258012
TS=143662890,TJ=142704629
TS=145996471,TJ=144432178
TS=10088660046,TJ=10085309751
TS=136380664,TJ=135017487
TS=10272951517,TJ=10272033836
TS=10226884827,TJ=10225995435
TS=10457462685,TJ=10454493408
TS=10516154222,TJ=10515321436
TS=10054614184,TJ=10053757163
TS=144735835,TJ=142793013
TS=143636643,TJ=142755204
TS=10407482695,TJ=10406514873
TS=10371149378,TJ=10370281826
TS=123987414,TJ=123092925
TS=132789850,TJ=131980918
TS=10405519065,TJ=10404587460
TS=134417483,TJ=130999566
TS=115250982,TJ=114383381
TS=125158739,TJ=123235669
TS=130852812,TJ=130039207
TS=135165739,TJ=134322744
TS=129530850,TJ=128644250
TS=10010623177,TJ=10009688851
TS=135021293,TJ=134161501
TS=10111024938,TJ=10108943103
TS=144211343,TJ=143355474
TS=10211724016,TJ=10209664368
TS=10236740905,TJ=10235838604
TS=10378182066,TJ=10377326058
TS=149289607,TJ=148453747
TS=10252765123,TJ=10251878664
TS=125473701,TJ=124690413
TS=133684422,TJ=132828778
TS=10111879548,TJ=10111110566
TS=130769265,TJ=129923742
TS=10297235325,TJ=10296348157
TS=10233116606,TJ=10232184201
TS=133959743,TJ=133116691
TS=158662120,TJ=157754034
TS=10029732129,TJ=10028858781
TS=131541911,TJ=130691760
TS=10128396941,TJ=10127313201
TS=10147724005,TJ=10146791644
TS=134403091,TJ=133526384
TS=10109250570,TJ=10108300698
TS=10269994356,TJ=10269150676
TS=10224859314,TJ=10224016556
TS=10215697250,TJ=10214811345
TS=10279709414,TJ=10278742937
TS=10225626620,TJ=10224731955
TS=134090612,TJ=133210835
TS=10441191382,TJ=10438840176
