TS=138246343,TJ=137459034
TS=115361895,TJ=114544125
TS=138708739,TJ=137823167
TS=135650632,TJ=134841373
TS=136779421,TJ=136012017
TS=135521580,TJ=134711542
TS=133912365,TJ=133100651
TS=9775430379,TJ=9774572444
TS=9728582193,TJ=9727645391
TS=144750089,TJ=143969984
TS=147557877,TJ=146744785
TS=9737756170,TJ=9736914988
TS=9862541408,TJ=9860910205
TS=139137855,TJ=138300138
TS=9659583868,TJ=9658670196
TS=145397697,TJ=144611274
TS=140931913,TJ=140150537
TS=9781458381,TJ=9780612246
TS=9804883761,TJ=9803995924
TS=9856620561,TJ=9855835744
TS=130449884,TJ=129603064
TS=124634459,TJ=123718000
TS=9840009761,TJ=9839069276
TS=130285207,TJ=129479148
TS=9918706888,TJ=9917792008
TS=121881697,TJ=121061949
TS=9969632328,TJ=9968716968
TS=9988952248,TJ=9988015336
TS=137177742,TJ=136428187
TS=10096791324,TJ=10095947489
TS=9894306566,TJ=9893502224
TS=9938412295,TJ=9937505705
TS=9809363575,TJ=9808537751
TS=9955772928,TJ=9954905457
TS=139656557,TJ=138841466
TS=9934364465,TJ=9933538395
TS=10153751012,TJ=10152528222
TS=137895146,TJ=137121355
TS=9909772931,TJ=9908902824
TS=10057305263,TJ=10056363930
TS=10194901772,TJ=10194089353
TS=10044135786,TJ=10043355779
TS=10328413556,TJ=10327561335
TS=160970184,TJ=160168003
TS=9945318495,TJ=9944566205
TS=144492803,TJ=143685112
TS=140016711,TJ=139227824
TS=149147937,TJ=148333080
TS=161630896,TJ=160827033
TS=10127010172,TJ=10126006620
TS=194629754,TJ=193839704
TS=170383073,TJ=169467145
TS=10003334002,TJ=10002519293
TS=156369246,TJ=155643015
TS=10168524467,TJ=10167804583
TS=137582196,TJ=136784263
TS=138762872,TJ=138003626
TS=9999259188,TJ=9998329312
TS=10054433502,TJ=10053509685
TS=9790610486,TJ=9789685730
TS=137964056,TJ=137200225
TS=9763376430,TJ=9762601584
TS=151738890,TJ=150937766
TS=126540755,TJ=125830140
TS=10097378878,TJ=10096506320
TS=10169333345,TJ=10168305955
TS=10114378040,TJ=10113674321
TS=126214484,TJ=125470747
TS=10043852685,TJ=10043034906
TS=133834653,TJ=133063392
TS=147662287,TJ=146936309
TS=10001554627,TJ=10000682938
TS=10075667258,TJ=10074879676
TS=133767186,TJ=132984402
TS=129202853,TJ=128490194
TS=9929637369,TJ=9928835012
TS=106996654,TJ=106308118
TS=118881894,TJ=118166356
TS=9895676228,TJ=9894845256
TS=127164945,TJ=126360776
TS=9947852135,TJ=9946987152
TS=9822942005,TJ=9822091087
TS=145973225,TJ=145229090
TS=110402771,TJ=109700660
TS=149824651,TJ=149098248
TS=10053241524,TJ=10052395996
TS=167761163,TJ=167035665
TS=9979125863,TJ=9978340269
TS=133959065,TJ=131263874
TS=9973478395,TJ=9972729167
TS=10140624877,TJ=10137338873
TS=134816414,TJ=130850685
TS=126677036,TJ=123927630
TS=9847708868,TJ=9846899072
TS=9869052498,TJ=9868267572
TS=9878919870,TJ=9878145339
TS=9958727188,TJ=9957878493
TS=9974990000,TJ=9974197284
TS=130693187,TJ=129816630
TS=10079335494,TJ=10078610554
TS=10077147391,TJ=10076262124
TS=10169092904,TJ=10168233004
TS=10123680298,TJ=10122957404
TS=10215023256,TJ=10214281987
TS=134336577,TJ=133650457
TS=10196112261,TJ=10195378565
TS=138831530,TJ=136189779
TS=9938581028,TJ=9937706140
TS=10050766680,TJ=10049976700
TS=9964434415,TJ=9962551604
TS=134839582,TJ=133099639
TS=9917256858,TJ=9916487597
TS=9902542325,TJ=9901884213
TS=10123771699,TJ=10120946902
TS=10141625823,TJ=10140846810
TS=10128278419,TJ=10127512086
TS=137632362,TJ=136938441
TS=10161497377,TJ=10160132381
TS=10197306607,TJ=10195412032
TS=9888893872,TJ=9885559155
TS=140731105,TJ=140079158
TS=10088010994,TJ=10087163623
TS=10044473619,TJ=10043682780
TS=122595617,TJ=120906020
TS=9806197385,TJ=9804981475
TS=9975872157,TJ=9975197680
TS=9977833786,TJ=9977050090
TS=10214183236,TJ=10213317370
TS=165486958,TJ=164773089
TS=10073271067,TJ=10072565724
TS=10092672653,TJ=10091964132
TS=146444406,TJ=143787197
TS=117211362,TJ=116558154
TS=10119732136,TJ=10119024676
TS=10056238964,TJ=10055525526
TS=9918963376,TJ=9918245070
TS=128412234,TJ=127761665
TS=136144651,TJ=135484158
TS=10054239942,TJ=10053463734
TS=133392406,TJ=132670387
TS=10009648326,TJ=10008904519
TS=10083349706,TJ=10082610922
TS=9849368684,TJ=9848619126
TS=10104889997,TJ=10104034786
TS=10162876602,TJ=10161269972
TS=10118462228,TJ=10117782537
TS=141561391,TJ=140916370
TS=10129865090,TJ=10129170739
TS=132477578,TJ=131739735
TS=10188803581,TJ=10187939194
TS=145978469,TJ=145212290
TS=10017713255,TJ=10016477151
TS=132237903,TJ=131588188
TS=142051960,TJ=141387259
TS=9469995482,TJ=9469207758
TS=125866735,TJ=125199318
TS=9882019997,TJ=9881238289
TS=9869449221,TJ=9868796081
TS=139066752,TJ=138420773
TS=9918775750,TJ=9918002025
TS=143045465,TJ=142324942
TS=9824884549,TJ=9824136162
TS=9921603630,TJ=9920926749
TS=9936236701,TJ=9935556303
TS=121370446,TJ=120680209
TS=9846910606,TJ=9846212738
TS=9876664271,TJ=9875760933
TS=130955603,TJ=130266629
