TS=10234122914,TJ=10233693918
TS=122855749,TJ=122450785
TS=125856886,TJ=125433426
TS=129644973,TJ=129240539
TS=138293152,TJ=137895850
TS=137917540,TJ=137519815
TS=137060760,TJ=136670717
TS=9563536564,TJ=9563085579
TS=177598695,TJ=177186868
TS=156178766,TJ=155802622
TS=10016504220,TJ=10015922372
TS=9431761344,TJ=9430297406
TS=10149036776,TJ=10148624856
TS=10070070468,TJ=10069627189
TS=125997808,TJ=125575348
TS=9930452001,TJ=9930011018
TS=128686649,TJ=128266379
TS=138128126,TJ=137730609
TS=9770351033,TJ=9769959489
TS=9916531930,TJ=9916061865
TS=100439864,TJ=100023299
TS=126875320,TJ=126450929
TS=10021709587,TJ=10021312004
TS=130465238,TJ=130057310
TS=9215513605,TJ=9215109681
TS=121731033,TJ=121291821
TS=9797835876,TJ=9797379665
TS=9609840364,TJ=9609411994
TS=134384403,TJ=133971243
TS=9691563286,TJ=9690931558
TS=9796129884,TJ=9795732131
TS=9967188407,TJ=9966711674
TS=10097597841,TJ=10097150853
TS=9759380019,TJ=9758942499
TS=10081066636,TJ=10080654012
TS=132616529,TJ=132121874
TS=9756108801,TJ=9755701831
TS=10356862680,TJ=10356167893
TS=137673344,TJ=137278526
TS=9725447128,TJ=9724930486
TS=9839813490,TJ=9839466206
TS=9947230028,TJ=9946842610
TS=9903236731,TJ=9902832350
TS=149364346,TJ=148943223
TS=9809468558,TJ=9809082808
TS=138755385,TJ=138366157
TS=133302261,TJ=132906965
TS=134868043,TJ=134583099
TS=134127032,TJ=133710030
TS=131273939,TJ=129081858
TS=9651642939,TJ=9651254483
TS=142728025,TJ=142386532
TS=9843273125,TJ=9842891296
TS=131173249,TJ=130743514
TS=10060750241,TJ=10060304823
TS=140240962,TJ=139846341
TS=9934942882,TJ=9934467989
TS=134189586,TJ=133806444
TS=9946865969,TJ=9944374789
TS=9853586141,TJ=9853054004
TS=143582897,TJ=143177329
TS=141494863,TJ=141060536
TS=9765327654,TJ=9764870963
TS=134395125,TJ=133986563
TS=10027362861,TJ=10026921948
TS=9967219057,TJ=9966687164
TS=129489102,TJ=129072643
TS=10034997758,TJ=10034594583
TS=9976480120,TJ=9974052579
TS=119782387,TJ=119402251
TS=137140414,TJ=136756950
TS=9961713592,TJ=9961304184
TS=9792881718,TJ=9792450943
TS=9807350901,TJ=9806968494
TS=9678353169,TJ=9677953721
TS=126833608,TJ=126341991
TS=113417995,TJ=113043524
TS=130090357,TJ=129755797
TS=139653046,TJ=139264665
TS=145344111,TJ=144950481
TS=9374734865,TJ=9374222040
TS=141308542,TJ=140909258
TS=139667558,TJ=139280592
TS=144782425,TJ=144383574
TS=9796837520,TJ=9796368787
TS=9735538793,TJ=9735098097
TS=134413992,TJ=134029243
TS=9892876673,TJ=9892409399
TS=9883536358,TJ=9883175405
TS=132325769,TJ=131934987
TS=9992509627,TJ=9992067802
TS=9652991396,TJ=9652610193
TS=141480371,TJ=141025589
TS=140408984,TJ=140000848
TS=9882843810,TJ=9882414306
TS=9900196118,TJ=9899792991
TS=9981234303,TJ=9980784983
TS=9754927084,TJ=9754506807
TS=127143492,TJ=126689163
TS=9822294541,TJ=9821894842
TS=9951935257,TJ=9951518347
TS=9768033387,TJ=9767588397
TS=10002481417,TJ=10002018633
TS=10028527213,TJ=10028127558
TS=10019161623,TJ=10018758913
TS=128833426,TJ=128387145
TS=126331156,TJ=125900834
TS=9888021471,TJ=9887568464
TS=9672445226,TJ=9672050411
TS=10026076447,TJ=10025607292
TS=134640886,TJ=134328477
TS=9632016829,TJ=9631604403
TS=9865358938,TJ=9864969053
TS=9961013729,TJ=9960554935
TS=9851766066,TJ=9851310655
TS=9801594145,TJ=9801119967
TS=142493113,TJ=142038645
TS=9896124990,TJ=9895731668
TS=9774740103,TJ=9774340141
TS=10221578486,TJ=10221009086
TS=132722076,TJ=132283407
TS=9763194560,TJ=9762751991
TS=10136761331,TJ=10136342644
TS=129523083,TJ=129072803
TS=10105766951,TJ=10105328450
TS=10150503846,TJ=10147060890
TS=10117843942,TJ=10117415982
TS=10216866009,TJ=10216379485
TS=142566065,TJ=142179265
TS=10027523288,TJ=10027093452
TS=133115870,TJ=132715595
TS=132306407,TJ=131931301
TS=9976458261,TJ=9976027792
TS=10110192874,TJ=10109772138
TS=10067852391,TJ=10067447110
TS=9826267169,TJ=9825833819
TS=135643100,TJ=135210056
TS=9791241774,TJ=9790820442
TS=128455043,TJ=128039988
TS=133654154,TJ=133244167
TS=9540157348,TJ=9539730981
TS=9714475665,TJ=9714029550
TS=9684020303,TJ=9683614137
TS=9806063446,TJ=9805624716
TS=9798866380,TJ=9798431405
TS=9323354661,TJ=9322964486
TS=9975303224,TJ=9974875918
TS=129056889,TJ=128702855
TS=9893860527,TJ=9893408083
TS=124210674,TJ=123780359
TS=141878871,TJ=141478121
TS=135857245,TJ=135481926
TS=9872665698,TJ=9872217994
TS=127601651,TJ=127207327
TS=9934580428,TJ=9934115888
TS=130116960,TJ=129672605
TS=9911122930,TJ=9910668039
TS=10002315012,TJ=10001820006
TS=134999431,TJ=134604597
TS=9859957235,TJ=9859481290
TS=151040687,TJ=150627364
TS=9937734516,TJ=9937283870
TS=10005919193,TJ=10005421126
TS=9837362155,TJ=9836962746
TS=9887480346,TJ=9887043059
TS=121393430,TJ=120987495
TS=10044764418,TJ=10044192539
TS=126182352,TJ=125758573
TS=9983495708,TJ=9982781400
TS=9803372503,TJ=9802948654
TS=9868624726,TJ=9868044511
TS=10112750739,TJ=10112289793
TS=10055120319,TJ=10054672233
TS=10003574870,TJ=10003138725
TS=10074403966,TJ=10073966556
TS=10024824914,TJ=10024420504
TS=119876005,TJ=119453297
TS=10198020155,TJ=10197415906
TS=136003601,TJ=135566178
TS=122497317,TJ=122076870
TS=9866136972,TJ=9865559282
TS=137473500,TJ=137044703
TS=9634746319,TJ=9634339538
TS=130911297,TJ=130463410
TS=9574149843,TJ=9571707694
TS=9679656109,TJ=9679171029
TS=10011277509,TJ=10010551334
TS=9776678806,TJ=9776254586
TS=9925510366,TJ=9925033236
TS=10046744514,TJ=10046299362
TS=10203118224,TJ=10202681834
TS=10101433840,TJ=10100923006
TS=9564060788,TJ=9563649511
TS=10013003636,TJ=10012565216
TS=121989197,TJ=121589716
TS=9831698096,TJ=9831286755
TS=146477419,TJ=146044894
TS=9853696873,TJ=9853114748
TS=9985288013,TJ=9984858730
TS=136827877,TJ=136403039
TS=9935130161,TJ=9934646751
TS=145014147,TJ=144637488
TS=126753342,TJ=126318965
TS=143033414,TJ=142618940
TS=141166580,TJ=140768102
TS=138382966,TJ=137966418
TS=139724439,TJ=139298524
TS=9967962882,TJ=9967539105
TS=10075717203,TJ=10075297405
TS=9934114959,TJ=9933708608
TS=126212313,TJ=125821793
TS=131850360,TJ=131457851
TS=9878858104,TJ=9878287322
TS=9915651871,TJ=9915251657
TS=118713045,TJ=118360969
TS=9765650770,TJ=9765230888
TS=9828799338,TJ=9828354756
TS=139031662,TJ=138616918
TS=9780740762,TJ=9780263339
TS=10024035359,TJ=10023588420
TS=9929917387,TJ=9929417740
TS=146613493,TJ=146190136
TS=9878240415,TJ=9877737438
TS=9908086406,TJ=9907562824
TS=9860934001,TJ=9860504445
TS=9949166586,TJ=9948753135
TS=9937229209,TJ=9936752478
TS=138762999,TJ=138334209
TS=9881390818,TJ=9880934427
TS=9809359288,TJ=9808959201
TS=141699172,TJ=141215260
TS=9623170033,TJ=9622709684
TS=124810266,TJ=124401542
TS=9654680777,TJ=9654175208
TS=144180417,TJ=143783766
TS=151739160,TJ=151325610
TS=10022552739,TJ=10022106284
TS=9956834672,TJ=9956440369
TS=10043160830,TJ=10042722888
TS=134547026,TJ=134096695
TS=10002446910,TJ=10001996715
TS=9892801359,TJ=9892404231
TS=129720651,TJ=129325486
TS=143330681,TJ=142940071
TS=10025985291,TJ=10025575769
TS=10130219021,TJ=10129447345
TS=9754601870,TJ=9754200449
TS=134822722,TJ=134425830
TS=129412066,TJ=128924115
TS=9774005578,TJ=9773541694
TS=135376958,TJ=134974944
TS=9863541824,TJ=9863097854
TS=136998952,TJ=136537862
TS=9739716757,TJ=9739280256
TS=9732936718,TJ=9732547619
TS=127332831,TJ=126934028
TS=9929177016,TJ=9928764310
TS=9932466112,TJ=9932067683
TS=9944963355,TJ=9944576169
TS=9828434370,TJ=9828013384
TS=111579816,TJ=111191668
TS=109674607,TJ=109290027
TS=9871437916,TJ=9871022271
TS=133612438,TJ=133189865
TS=9740125362,TJ=9739657701
TS=9866884516,TJ=9866228297
TS=9928144135,TJ=9927716764
TS=10063206527,TJ=10062777196
TS=10001911433,TJ=10001491164
TS=10103038520,TJ=10102620581
TS=10115914930,TJ=10115157592
TS=10032696294,TJ=10032285407
TS=177590933,TJ=177209030
TS=10067308216,TJ=10066916239
TS=150251170,TJ=149843649
TS=9968555987,TJ=9967871458
TS=9657924903,TJ=9657495944
TS=9742870534,TJ=9742424321
TS=156329607,TJ=155935612
TS=10277174889,TJ=10276670255
TS=10064006216,TJ=10063546550
TS=10110288431,TJ=10109887876
TS=9859216278,TJ=9858781142
TS=9903824799,TJ=9903430521
TS=10121603423,TJ=10121185645
TS=10000614083,TJ=10000176137
TS=128629543,TJ=128242259
TS=133609746,TJ=133214154
TS=9885476644,TJ=9885001763
TS=9948425060,TJ=9948013091
