TS=58849964,TJ=58474772
TS=116302727,TJ=113907008
TS=108905701,TJ=108612258
TS=191946101,TJ=191345716
TS=8621766003,TJ=8621398588
TS=9959311698,TJ=9958904041
TS=9862682293,TJ=9862360662
TS=130172210,TJ=129799081
TS=10244602846,TJ=10243939613
TS=142851865,TJ=142584499
TS=10211233523,TJ=10210895000
TS=10374692942,TJ=10374371932
TS=10243886608,TJ=10226650118
TS=10168076500,TJ=10167740283
TS=10045309177,TJ=10044971694
TS=10220227924,TJ=10219900314
TS=108339537,TJ=106400475
TS=89136525,TJ=88785509
TS=104488805,TJ=104172337
TS=115865097,TJ=115620882
TS=139457129,TJ=139113552
TS=132698184,TJ=132370803
TS=9693093166,TJ=9692734524
TS=134268344,TJ=133952100
TS=137438516,TJ=137096468
TS=141545277,TJ=141207619
TS=10017716391,TJ=10017356289
TS=10025046295,TJ=10024331731
TS=133396311,TJ=133089215
TS=10191162786,TJ=10190651508
TS=10008571930,TJ=10006777495
TS=10058474876,TJ=10057640908
TS=9835265332,TJ=9834610713
TS=105403484,TJ=105083841
TS=9950143220,TJ=9949801550
TS=10035940033,TJ=10035570975
TS=126265341,TJ=125942032
TS=129276334,TJ=128923887
TS=135206327,TJ=132837341
TS=9614031696,TJ=9613706827
TS=9738291779,TJ=9737908503
TS=141157823,TJ=140791768
TS=134736113,TJ=134391579
TS=9854509470,TJ=9854159161
TS=9957857411,TJ=9957508018
TS=137895010,TJ=137563843
TS=9967030776,TJ=9966707528
TS=9963100729,TJ=9962764325
TS=131525256,TJ=131176775
TS=10053192085,TJ=10052823479
TS=10259270669,TJ=10258911342
TS=137697834,TJ=137295152
TS=10177474568,TJ=10177096389
TS=131536739,TJ=131214724
TS=10013324131,TJ=10012956837
TS=128429238,TJ=128089631
TS=10275553812,TJ=10274855349
TS=10149323000,TJ=10148970176
TS=10169594743,TJ=10169236054
TS=10166148498,TJ=10165881021
TS=10210179260,TJ=10209110643
TS=10071136120,TJ=10070792310
TS=10260647260,TJ=10260301663
TS=10070573271,TJ=10070222784
TS=132456220,TJ=132089780
TS=131777870,TJ=131465710
TS=141747338,TJ=141426640
TS=10185953940,TJ=10185499682
TS=10004075501,TJ=10003706991
TS=148248671,TJ=147903911
TS=10058219549,TJ=10057825570
TS=10172465257,TJ=10172070592
TS=10156517768,TJ=10156158720
TS=10035064827,TJ=10034617700
TS=10074107377,TJ=10073756230
TS=131657860,TJ=131340596
TS=131710350,TJ=131374176
TS=137965381,TJ=137629418
TS=137600063,TJ=137274289
TS=10329538737,TJ=10328863285
TS=161828605,TJ=161159300
TS=10414043754,TJ=10413532566
TS=117548467,TJ=117194918
TS=10009458192,TJ=10009111501
TS=9997341593,TJ=9997017285
TS=135517068,TJ=135277254
TS=136842345,TJ=136504961
TS=10124564564,TJ=10124219535
TS=10227311975,TJ=10226657821
TS=10113928026,TJ=10113561802
TS=9909391523,TJ=9909019730
TS=10195092315,TJ=10194744326
TS=144023850,TJ=143107443
TS=10221665962,TJ=10221253302
TS=10162283503,TJ=10161580653
TS=10110862400,TJ=10110540869
TS=10309527149,TJ=10309166162
TS=10069940719,TJ=10069601767
TS=128641034,TJ=128315461
TS=10116040454,TJ=10115721398
TS=10240078019,TJ=10239767597
TS=9984636404,TJ=9984234458
TS=10265027715,TJ=10264524662
TS=142001849,TJ=140158987
TS=10133658334,TJ=10133334745
TS=10500513431,TJ=10500197482
TS=137161213,TJ=136801820
TS=10191942968,TJ=10191592963
TS=10257561947,TJ=10257247717
TS=10391842686,TJ=10391506900
TS=10530041733,TJ=10529349590
TS=122577091,TJ=122218849
TS=10337403782,TJ=10337085737
TS=10395617204,TJ=10395288261
TS=136163747,TJ=135860673
TS=10124560251,TJ=10124215469
TS=141845798,TJ=141534409
TS=145147452,TJ=144832804
TS=133309385,TJ=133007041
TS=9932633329,TJ=9931980480
TS=10080215148,TJ=10079808060
TS=10259275025,TJ=10258923693
TS=10104891421,TJ=10104547079
TS=10129127512,TJ=10126703386
TS=141385989,TJ=141060732
TS=10151241314,TJ=10150890194
TS=136777916,TJ=136450771
TS=10204965869,TJ=10204608250
TS=10212609079,TJ=10212272916
TS=137296055,TJ=137026757
TS=124629728,TJ=124301691
TS=10357802746,TJ=10357159115
TS=133532808,TJ=133190002
TS=166098639,TJ=165769393
TS=9840384286,TJ=9840044149
TS=10002406608,TJ=10002064236
TS=10060805617,TJ=10060446121
TS=9899309156,TJ=9898663347
TS=125489395,TJ=125179307
TS=9853317172,TJ=9852985584
TS=10139946117,TJ=10139603294
TS=10203116536,TJ=10202799943
TS=10095624329,TJ=10095286418
TS=10090664680,TJ=10090342474
TS=121001962,TJ=120682619
TS=9842969282,TJ=9842618216
TS=9947963281,TJ=9947580502
TS=10022955498,TJ=10022253320
TS=10117318697,TJ=10116953183
TS=10315096959,TJ=10314776263
TS=138991584,TJ=138679725
TS=10050004388,TJ=10049630586
TS=10083107462,TJ=10082786799
TS=10278379608,TJ=10278058531
TS=10288460839,TJ=10287849576
TS=123139558,TJ=122793433
TS=127328542,TJ=127035285
TS=10187019639,TJ=10186713945
TS=139249570,TJ=138932703
TS=136094426,TJ=135794327
